שם_ישוב,גיל_0_5,,גיל_6_18,,גיל_19_45,,גיל_46_55,,גיל_56_64,,גיל_65_פלוס,,"סה""כ",,AND,עירוני/ כפרי,מגזר,פריפריה/ מרכז,נפה/ מועצה,נפה,סמל_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,
בסמת טבעון,830,0,"1,888",0,"3,447",1,991,0,643,0,537,0,"8,336",1,0,עירוני,בדואי,פריפריה,עפולה ,עפולה ,944,23,עפולה ,23,עפולה ,0, ,
שבלי - אום אל-גנם,691,0,"1,764",0,"2,778",1,816,0,494,0,440,0,"6,983",1,0,עירוני,בדואי,פריפריה,עפולה ,עפולה ,913,23,עפולה ,23,עפולה ,0, ,
נחף,"1,554",0,"3,584",1,"6,170",1,"1,490",0,843,0,690,0,"14,331",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,522,24,עכו ,20,כרמיאל ,0, ,
בית ג'ן,"1,121",0,"2,558",1,"5,609",1,"1,516",0,"1,021",0,"1,042",0,"12,867",1,0,עירוני,דרוזי,פריפריה,עכו ,עכו ,480,24,עכו ,20,כרמיאל ,0, ,
ראמה,629,0,"1,607",0,"3,531",1,"1,040",0,817,0,"1,116",0,"8,740",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,543,24,עכו ,20,כרמיאל ,0, ,
סאג'ור,448,0,934,0,"2,124",1,541,0,286,0,271,0,"4,604",0,0,עירוני,דרוזי,פריפריה,עכו ,עכו ,525,24,עכו ,20,כרמיאל ,0, ,
סואעד (כמאנה) (שבט),0,0,4,0,10,0,10,0,4,0,3,0,31,0,0,עירוני,#N/A,פריפריה,עכו ,עכו ,989,24,עכו ,20,כרמיאל ,0, ,
עראבה,"2,947",1,"7,064",1,"11,902",1,"3,016",1,"1,801",0,"1,543",0,"28,273",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,531,24,עכו ,24,עכו ,0, ,
ג'דיידה-מכר,"1,910",0,"4,545",1,"9,179",1,"2,740",1,"1,894",0,"1,427",0,"21,695",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,1292,24,עכו ,24,עכו ,0, ,
ירכא,"1,597",0,"3,830",1,"7,329",1,"1,826",0,"1,252",0,"1,042",0,"16,876",1,0,עירוני,דרוזי,פריפריה,עכו ,עכו ,502,24,עכו ,24,עכו ,0, ,
מג'ד אל-כרום,"1,393",0,"3,823",1,"6,951",1,"1,906",0,"1,167",0,"1,017",0,"16,257",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,516,24,עכו ,24,עכו ,0, ,
אבו סנאן,"1,387",0,"2,923",1,"6,108",1,"1,704",0,"1,132",0,"1,142",0,"14,396",1,0,עירוני,דרוזי,פריפריה,עכו ,עכו ,473,24,עכו ,24,עכו ,0, ,
אעבלין,"1,230",0,"3,137",1,"5,782",1,"1,681",0,"1,132",0,"1,046",0,"14,008",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,529,24,עכו ,24,עכו ,0, ,
דייר אל-אסד,"1,323",0,"3,221",1,"5,714",1,"1,458",0,911,0,811,0,"13,438",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,490,24,עכו ,24,עכו ,0, ,
כאבול,"1,302",0,"3,134",1,"5,528",1,"1,519",0,964,0,709,0,"13,156",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,504,24,עכו ,24,עכו ,0, ,
כפר יאסיף,944,0,"2,192",1,"4,688",1,"1,362",0,"1,029",0,"1,159",0,"11,374",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,507,24,עכו ,24,עכו ,0, ,
דייר חנא,983,0,"2,449",1,"4,863",1,"1,283",0,916,0,817,0,"11,311",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,492,24,עכו ,24,עכו ,0, ,
כסרא-סמיע,"1,058",0,"2,351",1,"4,113",1,953,0,557,0,472,0,"9,504",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,1296,24,עכו ,24,עכו ,0, ,
בענה,808,0,"2,040",1,"3,804",1,"1,030",0,627,0,529,0,"8,838",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,483,24,עכו ,24,עכו ,0, ,
שלומי,678,0,"1,710",0,"3,078",1,"1,214",0,788,0,"1,012",0,"8,480",1,0,עירוני,יהודי,פריפריה,עכו ,עכו ,812,24,עכו ,24,עכו ,0, ,
שעב,857,0,"1,741",0,"3,356",1,905,0,603,0,393,0,"7,855",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,538,24,עכו ,24,עכו ,0, ,
יאנוח-ג'ת,663,0,"1,603",0,"3,069",1,823,0,478,0,450,0,"7,086",1,0,עירוני,דרוזי,פריפריה,עכו ,עכו ,1295,24,עכו ,24,עכו ,0, ,
חורפיש,673,0,"1,445",0,"3,033",1,823,0,525,0,486,0,"6,985",1,0,עירוני,דרוזי,פריפריה,עכו ,עכו ,496,24,עכו ,24,עכו ,0, ,
ג'ולס,599,0,"1,282",0,"2,966",1,861,0,608,0,545,0,"6,861",1,0,עירוני,#N/A,פריפריה,עכו ,עכו ,485,24,עכו ,24,עכו ,0, ,
פקיעין (בוקייעה),471,0,"1,200",0,"2,716",1,743,0,588,0,618,0,"6,336",1,0,עירוני,דרוזי,פריפריה,עכו ,עכו ,536,24,עכו ,24,עכו ,0, ,
כפר ורדים,271,0,"1,278",0,"1,916",0,890,0,699,0,"1,241",0,"6,295",1,0,עירוני,יהודי,פריפריה,עכו ,עכו ,1263,24,עכו ,24,עכו ,0, ,
מזרעה,458,0,771,0,"1,825",0,427,0,425,0,362,0,"4,268",0,0,עירוני,ערבי,פריפריה,עכו ,עכו ,517,24,עכו ,24,עכו ,0, ,
כאוכב אבו אל-היג'א,375,0,972,0,"1,669",0,527,0,300,0,302,0,"4,145",0,0,עירוני,ערבי,פריפריה,עכו ,עכו ,505,24,עכו ,24,עכו ,0, ,
פסוטה,261,0,636,0,"1,448",0,474,0,347,0,435,0,"3,601",0,0,עירוני,ערבי,פריפריה,עכו ,עכו ,535,24,עכו ,24,עכו ,0, ,
מעיליא,240,0,572,0,"1,295",0,510,0,320,0,494,0,"3,431",0,0,עירוני,ערבי,פריפריה,עכו ,עכו ,518,24,עכו ,24,עכו ,0, ,
כפר מנדא,"2,668",1,"5,577",1,"9,689",1,"2,002",1,"1,243",0,942,0,"22,121",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,510,24,עכו ,25,נוף הגליל ,0, ,
ביר אל-מכסור,"1,247",0,"2,729",1,"4,558",1,"1,102",0,739,0,640,0,"11,015",1,0,עירוני,בדואי,פריפריה,עכו ,עכו ,998,24,עכו ,25,נוף הגליל ,0, ,
